ID,"Zeměpisná délka A","Zeměpisná délka B","Zeměpisná šířka A","Zeměpisná šířka B","Výška A","Výška B","Zisk antény A - DBI","Zisk antény B - DBI","Kmitočet A - MHz","Kmitočet B - MHz","Šířka zabraného pásma A","Šířka zabraného pásma B","Střední výkon A","Střední výkon B",Polarizace,Vzdálenost
1,15.8494,15.8508,50.0667,50.0686,7,11,42,42,72000,72000,500,500,5,5,Horizontální,0.24
2,13.4728,13.4733,50.0983,50.0967,25,10,42,42,75375,75375,500,500,0,0,Vertikální,0.19
3,13.3997,13.4103,50.4711,50.4744,50,70,50,50,73500,83500,1250,1250,20,20,Vertikální,0.83
4,13.5422,13.5508,50.3186,50.3244,25,25,50,50,75000,85000,1250,1250,22,22,Horizontální,0.89
5,13.5419,13.5375,50.3183,50.3294,30,50,52,52,74000,84000,1250,1250,17,17,Horizontální,1.27
6,13.8539,13.8117,50.3664,50.3514,13,28,50,50,85000,75000,1250,1250,20,20,Horizontální,3.43
7,13.4339,13.4492,50.4978,50.5011,30,30,50,50,83500,73500,1250,1250,20,20,Vertikální,1.14
8,13.5375,13.5356,50.3294,50.3378,50,12,52,52,82000,72000,1250,1250,20,20,Horizontální,0.94
9,14.5839,14.5942,50.0597,50.0625,8,20,42,42,75375,75375,500,500,5,5,Vertikální,0.8
10,17.2775,17.2689,49.5908,49.5994,285,235,42,42,74000,74000,500,500,7,7,Vertikální,1.14
11,15.2797,15.2767,49.9553,49.9536,34,33,45.5,45.5,74125,84125,1000,1000,2,2,Horizontální,0.29
12,15.2822,15.2797,49.9594,49.9553,30,34,44,44,74500,84500,1250,1250,22,22,Vertikální,0.5
13,14.0303,14.0528,50.6769,50.6753,44,28,43,43,72750,82750,1000,1000,18,18,Vertikální,1.6
14,14.0303,14.0336,50.6769,50.6783,44,28,43,43,71750,81750,250,250,14,14,Vertikální,0.28
15,14.0303,13.9994,50.6769,50.6861,44,33,50,50,72000,82000,1000,1000,18,18,Vertikální,2.4
16,14.0303,14.0158,50.6769,50.6625,44,10,50,43,71750,81750,1000,1000,18,18,Vertikální,1.9
17,14.0303,14.0192,50.6769,50.6847,44,20,43,43,71750,81750,1000,1000,14,14,Vertikální,1.17
18,14.0303,14.0186,50.6769,50.6681,44,21,43,43,71750,81750,1000,1000,14,14,Vertikální,1.29
19,14.0303,14.0456,50.6769,50.6531,44,23,50,50,72000,82000,1000,1000,18,18,Vertikální,2.87
20,14.0189,14.0186,50.6675,50.6772,21,9,43,43,81250,71250,250,250,18,18,Vertikální,1.08
21,14.1458,14.1483,50.6642,50.6708,7,10,43,43,71250,81250,250,250,12,12,Vertikální,0.76
22,14.06,14.0642,50.6244,50.6242,21,24,43,43,81250,71250,250,250,12,12,Vertikální,0.3
23,14.6167,14.5572,50.9081,50.9528,42,42,50,50,74375,74375,500,500,3,3,Vertikální,6.49
24,14.2161,14.2456,50.7789,50.7636,20,25,52,52,74500,84500,2500,2500,3,3,Horizontální,2.68
25,14.06,14.0642,50.6244,50.6242,28,26,43,43,74375,74375,500,500,5,5,Vertikální,0.3
26,16.0419,16.0569,48.8642,48.8603,35,35,42,42,75375,75375,500,500,5,5,Vertikální,1.18
27,16.0419,16.0544,48.8642,48.8572,35,15,42,42,73375,73375,500,500,5,5,Vertikální,1.2
28,16.065,16.0617,48.8411,48.8394,35,15,42,42,75375,75375,500,500,5,5,Vertikální,0.31
29,16.065,16.0758,48.8411,48.8508,35,35,50,50,73375,73375,500,500,5,5,Horizontální,1.34
